"Symbol","Name","Price (Intraday)","Change","Change %","Volume","Avg Vol (3M)","Market Cap","P/E Ratio (TTM)","Region","Sector","Industry","Index"
"NVDA","NVIDIA Corporation","177.39","1.64","0.93%","143.143M","181.055M","4.311T","36.20","US","Technology","Semiconductors","S&P 500, Dow Jones Industrial Average, NASDAQ 100"
"AAPL","Apple Inc.","255.92","0.29","0.11%","31.289M","47.817M","3.761T","32.46","US","Technology","Consumer Electronics","S&P 500, Dow Jones Industrial Average, NASDAQ 100"
"MSFT","Microsoft Corporation","373.46","4.09","1.11%","24.099M","36.595M","2.776T","23.37","US","Technology","Software—Infrastructure","S&P 500, Dow Jones Industrial Average, NASDAQ 100"
"AMZN","Amazon.com, Inc.","209.77","-0.80","-0.38%","31.453M","50.67M","2.252T","29.26","US","Consumer Cyclical","Internet Retail","S&P 500, Dow Jones Industrial Average, NASDAQ 100"
"WMT","Walmart Inc.","125.79","1.05","0.84%","11.898M","31.215M","1.003T","38.96","US","Consumer Defensive","Discount Stores","S&P 500, Dow Jones Industrial Average"
"JPM","JPMorgan Chase & Co.","294.60","-0.78","-0.26%","6.669M","11.309M","989.983B","14.72","US","Financial Services","Banks—Diversified","S&P 500, Dow Jones Industrial Average"
"JNJ","Johnson & Johnson","243.04","-1.08","-0.44%","6.879M","8.859M","585.702B","22.03","US","Healthcare","Drug Manufacturers—General","S&P 500, Dow Jones Industrial Average"
"V","Visa Inc.","300.80","2.29","0.77%","4.376M","8.161M","579.954B","28.25","US","Financial Services","Credit Services","S&P 500, Dow Jones Industrial Average"
"CVX","Chevron Corporation","198.97","1.56","0.79%","11.528M","12.995M","397.811B","30.01","US","Energy","Oil & Gas Integrated","S&P 500, Dow Jones Industrial Average"
"CAT","Caterpillar Inc.","717.22","-13.10","-1.79%","1.764M","2.841M","335.644B","38.13","US","Industrials","Farm & Heavy Construction Machinery","S&P 500, Dow Jones Industrial Average"
"PG","The Procter & Gamble Company","143.12","-0.97","-0.67%","5.942M","11.628M","334.433B","21.21","US","Consumer Defensive","Household & Personal Products","S&P 500, Dow Jones Industrial Average"
"KO","The Coca-Cola Company","76.72","0.64","0.84%","14.573M","18.508M","330.215B","25.24","US","Consumer Defensive","Beverages—Non-Alcoholic","S&P 500, Dow Jones Industrial Average"
"GS","The Goldman Sachs Group, Inc.","863.04","2.83","0.33%","1.718M","2.445M","325.846B","18.75","US","Financial Services","Capital Markets","S&P 500, Dow Jones Industrial Average"
"HD","The Home Depot, Inc.","321.63","-7.93","-2.41%","3.732M","4.295M","320.347B","23.69","US","Consumer Cyclical","Home Improvement Retail","S&P 500, Dow Jones Industrial Average"
"CSCO","Cisco Systems, Inc.","79.02","1.51","1.95%","12.635M","24.215M","312.215B","28.43","US","Technology","Communication Equipment","S&P 500, Dow Jones Industrial Average, NASDAQ 100"
"MRK","Merck & Co., Inc.","120.87","0.03","0.02%","6.388M","11.88M","298.838B","16.60","US","Healthcare","Drug Manufacturers—General","S&P 500, Dow Jones Industrial Average"
"UNH","UnitedHealth Group Incorporated","277.26","3.28","1.20%","6.407M","9.768M","251.662B","20.96","US","Healthcare","Healthcare Plans","S&P 500, Dow Jones Industrial Average"
"IBM","International Business Machines Corporation","248.16","5.02","2.06%","3.351M","5.876M","232.876B","36.51","US","Technology","Information Technology Services","S&P 500, Dow Jones Industrial Average"
"MCD","McDonald's Corporation","307.14","-0.15","-0.05%","2.649M","3.333M","219.176B","25.70","US","Consumer Cyclical","Restaurants","S&P 500, Dow Jones Industrial Average"
"VZ","Verizon Communications Inc.","49.40","0.01","0.02%","22.738M","31.891M","208.354B","12.17","US","Communication Services","Telecom Services","S&P 500, Dow Jones Industrial Average"
"AXP","American Express Company","300.18","-0.32","-0.11%","2.105M","3.738M","206.108B","19.52","US","Financial Services","Credit Services","S&P 500, Dow Jones Industrial Average"
"AMGN","Amgen Inc.","347.94","-5.34","-1.51%","1.604M","2.835M","187.563B","24.45","US","Healthcare","Drug Manufacturers—General","S&P 500, Dow Jones Industrial Average, NASDAQ 100"
"CRM","Salesforce, Inc.","187.18","0.94","0.50%","11.635M","12.936M","175.388B","24.00","US","Technology","Software—Application","S&P 500, Dow Jones Industrial Average"
"DIS","The Walt Disney Company","96.61","0.05","0.05%","6.379M","11.802M","171.327B","14.22","US","Communication Services","Entertainment","S&P 500, Dow Jones Industrial Average"
"BA","The Boeing Company","208.22","0.90","0.43%","6.699M","7.502M","163.628B","","US","Industrials","Aerospace & Defense","S&P 500, Dow Jones Industrial Average"
"HON","Honeywell International Inc.","229.45","1.25","0.55%","2.987M","4.384M","145.856B","33.32","US","Industrials","Conglomerates","S&P 500, Dow Jones Industrial Average, NASDAQ 100"
"SHW","The Sherwin-Williams Company","318.00","-7.70","-2.36%","1.768M","1.832M","78.792B","30.99","US","Basic Materials","Specialty Chemicals","S&P 500, Dow Jones Industrial Average"
"MMM","3M Company","144.47","-0.78","-0.54%","1.783M","4.213M","76.092B","22.02","US","Industrials","Conglomerates","S&P 500, Dow Jones Industrial Average"
"TRV","The Travelers Companies, Inc.","293.99","3.46","1.19%","924,117","1.649M","65.578B","10.72","US","Financial Services","Insurance—Property & Casualty","S&P 500, Dow Jones Industrial Average"
"NKE","NIKE, Inc.","44.19","-0.44","-0.99%","63.243M","18.179M","65.418B","29.13","US","Consumer Cyclical","Footwear & Accessories","S&P 500, Dow Jones Industrial Average"
