"Symbol","Name","Price (Intraday)","Change","Change %","Volume","YTD Return","3-Mo Return","1-Year Return","3-Year Return","5-Year Return","Net Expense Ratio","Gross Expense Ratio","Net Assets","Morningstar Rating","50 Day Avg","200 Day Average","Exchange","Funds by Category","Funds by Company"
"VCIT","Vanguard Intermediate-Term Corporate Bond Index Fund ETF Shares","83.19","-0.17","-0.20%","4.622M","0.70%","0.44%","9.40%","8.92%","-1.46%","0.03","0.03","66.029B","4","83.45","83.59","Nasdaq GM","Corporate Bond","Vanguard"
"VCSH","Vanguard Short-Term Corporate Bond Index Fund ETF Shares","79.36","-0.04","-0.06%","3.613M","0.67%","0.58%","6.77%","6.23%","-0.41%","0.03","0.03","48.492B","4","79.54","79.65","Nasdaq GM","Short-Term Bond","Vanguard"
"IGSB","iShares 1-5 Year Investment Grade Corporate Bond ETF","52.62","-0.03","-0.07%","986,091","0.70%","0.59%","6.93%","6.42%","-0.49%","0.04","0.04","21.914B","4","52.75","52.85","Nasdaq GM","Short-Term Bond","iShares"
"IGIB","iShares 5-10 Year Investment Grade Corporate Bond ETF","53.49","-0.10","-0.19%","1.026M","0.66%","0.38%","9.58%","9.17%","-1.65%","0.04","0.04","17.617B","4","53.67","53.76","Nasdaq GM","Corporate Bond","iShares"
"USIG","iShares Broad USD Investment Grade Corporate Bond ETF","51.49","-0.08","-0.16%","446,825","0.77%","0.30%","7.85%","8.70%","-1.29%","0.04","0.04","17.055B","3","51.62","51.79","Nasdaq GM","Corporate Bond","iShares"
"EMB","iShares J.P. Morgan USD Emerging Markets Bond ETF","95.98","-0.27","-0.28%","2.453M","1.31%","1.18%","13.45%","10.58%","-2.45%","0.39","0.39","14.12B","2","95.75","95.23","Nasdaq GM","Emerging Markets Bond","iShares"
"VCLT","Vanguard Long-Term Corporate Bond Index Fund ETF Shares","75.36","-0.40","-0.53%","1.228M","1.23%","-0.01%","7.28%","11.10%","-1.15%","0.03","0.03","8.196B","4","75.66","76.34","Nasdaq GM","Long-Term Bond","Vanguard"
"TBIL","F/m US Treasury 3 Month Bill Fund - ETF Class Shares","49.94","0.02","0.04%","993,113","","","","","","0.15","0.15","6.955B","","49.92","49.93","Nasdaq GM","Ultrashort Bond","F/m Investments LLC"
"VBIL","Vanguard 0-3 Month Treasury Bill ETF","75.56","0.01","0.02%","710,781","","","","","","0.06","0.06","6.67B","","75.53","75.50","Nasdaq GM","Ultrashort Bond","Vanguard"
"FTSM","First Trust Enhanced Short Maturity ETF","59.89","0.00","0.00%","982,855","0.94%","0.83%","4.62%","5.17%","0.04%","0.29","0.29","6.463B","2","59.93","59.98","Nasdaq GM","Ultrashort Bond","First Trust"
