"Symbol","Name","Price (Intraday)","Change","Change %","Volume","Avg Vol (3M)","Market Cap","P/E Ratio (TTM)","Region","Sector","Industry","Index","Full Time Employees","Dividend Yield %"
"SPG","Simon Property Group, Inc.","206.23","4.88","2.42%","1.346M","1.707M","78.5B","14.56","US","Real Estate","REIT—Retail","S&P 500","","4.27%"
"O","Realty Income Corporation","65.09","0.45","0.70%","5.151M","6.341M","60.693B","55.78","US","Real Estate","REIT—Retail","S&P 500","","4.98%"
"SPG-PJ","Simon Property Group, Inc.","54.22","0.03","0.06%","1,154","2,178","45.843B","14.56","US","Real Estate","REIT—Retail","","","4.27%"
"CCI","Crown Castle Inc.","88.71","1.84","2.12%","3.437M","3.449M","38.71B","35.20","US","Real Estate","REIT—Specialty","S&P 500","","4.79%"
"EXR","Extra Space Storage Inc.","145.36","3.72","2.63%","1.141M","1.299M","32.071B","31.67","US","Real Estate","REIT—Industrial","S&P 500","","4.46%"
"CRBJY","China Resources Land Limited","39.45","0.00","0.00%","1","10","28.131B","7.66","US","Real Estate","Real Estate—Development","","","4.27%"
"EQR","Equity Residential","62.68","2.19","3.62%","3.409M","2.65M","24.396B","21.35","US","Real Estate","REIT—Residential","S&P 500","","4.48%"
"AVB","AvalonBay Communities, Inc.","173.89","4.26","2.51%","999,434","1.107M","24.359B","23.51","US","Real Estate","REIT—Residential","S&P 500","","4.09%"
"VONOY","Vonovia SE","14.06","0.42","3.10%","36,986","251,458","24.068B","5.66","US","Real Estate","Real Estate Services","","","5.20%"
"VNNVF","Vonovia SE","26.90","-1.27","-4.49%","500","112","22.818B","5.66","US","Real Estate","Real Estate Services","","","5.20%"
"URMCY","Unibail-Rodamco-Westfield SE","12.50","0.41","3.39%","637","11,776","18.02B","12.22","US","Real Estate","REIT—Retail","","","4.22%"
"ESS","Essex Property Trust, Inc.","254.97","6.97","2.81%","462,494","522,933","17.629B","24.52","US","Real Estate","REIT—Residential","S&P 500","","4.03%"
"INVH","Invitation Homes Inc.","27.03","0.76","2.89%","4.821M","6.63M","16.472B","28.23","US","Real Estate","REIT—Residential","S&P 500","","4.44%"
"NLY","Annaly Capital Management, Inc.","22.80","0.66","2.98%","5.518M","7.822M","16.379B","7.81","US","Real Estate","REIT—Mortgage","","","12.28%"
"KIM","Kimco Realty Corporation","24.19","0.44","1.85%","4.338M","5.957M","16.314B","29.63","US","Real Estate","REIT—Retail","S&P 500","","4.30%"
"MAA","Mid-America Apartment Communities, Inc.","127.94","4.84","3.93%","1.534M","985,809","15.333B","33.82","US","Real Estate","REIT—Residential","S&P 500","","4.78%"
"CRMLY","","10.52","0.00","0.00%","500","12","14.31B","24.07","US","Real Estate","Real Estate Services","","","4.14%"
"LAMR","Lamar Advertising Company","135.04","-0.11","-0.08%","601,640","559,154","13.699B","23.40","US","Real Estate","REIT—Specialty","","","4.78%"
"NLY-PG","Annaly Capital Management, Inc.","24.95","-0.05","-0.20%","14,547","20,206","13.541B","7.81","US","Real Estate","REIT—Mortgage","","","12.28%"
"NLY-PF","Annaly Capital Management, Inc.","25.80","-0.01","-0.04%","41,983","41,514","13.455B","7.81","US","Real Estate","REIT—Mortgage","","","12.28%"
"UDR","UDR, Inc.","35.28","1.03","3.01%","3.713M","4.22M","13.283B","31.25","US","Real Estate","REIT—Residential","S&P 500","","4.93%"
"AMH","American Homes 4 Rent","30.69","0.73","2.44%","1.561M","3.942M","12.742B","26.01","US","Real Estate","REIT—Residential","","","4.30%"
"KLPEF","Klépierre SA","41.14","0.00","0.00%","250","103","12.31B","7.78","US","Real Estate","REIT—Retail","","","5.38%"
"DOC","Healthpeak Properties, Inc.","17.37","0.29","1.71%","7.852M","8.993M","12.077B","173.70","US","Real Estate","REIT—Healthcare Facilities","S&P 500","","7.02%"
"MAA-PI","Mid-America Apartment Communities, Inc.","55.00","0.40","0.73%","3,763","703","12.034B","33.82","US","Real Estate","REIT—Residential","","","4.78%"
"KLPPY","Klépierre SA","22.96","0.00","0.00%","100","115","11.965B","7.78","US","Real Estate","REIT—Retail","","","5.38%"
"CPT","Camden Property Trust","103.40","3.22","3.21%","1.372M","1.191M","10.829B","29.21","US","Real Estate","REIT—Residential","S&P 500","","4.10%"
"BPYPP","Brookfield Property Partners L.P.","16.28","0.17","1.06%","16,514","22,019","10.758B","","US","Real Estate","Real Estate Services","","","7.15%"
"BXP","BXP, Inc.","58.05","1.88","3.35%","2.646M","2.71M","10.278B","33.36","US","Real Estate","REIT—Office","S&P 500","","4.82%"
